Date,Date2,Open,High,Low,Close
2012-01-30,40938,63.67,64.84,63.63,64.72
2012-01-31,40939,65.08,65.46,64.72,65.21
2012-02-01,40940,65.49,65.57,65.08,65.17
2012-02-02,40941,65.13,65.31,64.85,65.02
2012-02-03,40942,65.33,65.71,65.08,65.67
2012-02-06,40945,65.48,66.43,65.46,66.28
2012-02-07,40946,66.46,67.11,66.37,66.98
2012-02-08,40947,67.21,68.11,67.1,68.1
2012-02-09,40948,68.68,70.96,68.65,70.45
2012-02-10,40949,70.14,71.09,69.79,70.49
2012-02-13,40952,71.36,71.98,71.01,71.8
2012-02-14,40953,72.09,72.79,71.71,72.78
2012-02-15,40954,73.47,75.18,70.98,71.1
2012-02-16,40955,70.21,72.13,69.52,71.74
2012-02-17,40956,71.87,72.54,71.47,71.73
2012-02-21,40960,72.41,73.55,72.02,73.55
2012-02-22,40961,73.3,73.64,72.72,73.29
2012-02-23,40962,73.58,73.98,72.79,73.77
2012-02-24,40963,74.24,74.7,74.09,74.63
2012-02-27,40966,74.47,75.5,73.75,75.11
2012-02-28,40967,75.42,76.49,75.12,76.49
2012-02-29,40968,77.37,78.23,76.53,77.49
2012-03-01,40969,78.31,78.32,76.97,77.78
2012-03-02,40970,77.75,78.11,77.5,77.88
2012-03-05,40973,77.92,78.21,75.14,76.17
2012-03-06,40974,74.81,76.24,73.75,75.75
2012-03-07,40975,76.69,76.83,74.76,75.81
2012-03-08,40976,76.38,77.57,76.02,77.43
2012-03-09,40977,77.74,78.25,77.59,77.88
2012-03-12,40980,78.43,78.86,78.14,78.86
2012-03-13,40981,79.65,81.17,79.39,81.16
2012-03-14,40982,82.58,84.96,82.2,84.23
2012-03-15,40983,85.66,85.72,82.65,83.65
2012-03-16,40984,83.53,84.17,82.57,83.65
2012-03-19,40987,85.48,85.97,84.15,85.87
2012-03-20,40988,85.64,86.7,83.14,86.57
2012-03-21,40989,86.11,87.09,85.92,86.07
2012-03-22,40990,85.4,86.36,85.08,85.62
2012-03-23,40991,85.78,85.97,84.91,85.15
2012-03-26,40994,85.68,86.74,85.04,86.71
2012-03-27,40995,86.6,88.04,86.58,87.78
2012-03-28,40996,88.34,88.78,87.19,88.23
2012-03-29,40997,87.54,88.08,86.75,87.12
2012-03-30,40998,86.97,87.22,85.42,85.65
2012-04-02,41001,85.98,88.4,85.77,88.38
2012-04-03,41002,89.61,90.32,88.93,89.9
2012-04-04,41003,89.19,89.41,88.14,89.19
2012-04-05,41004,89.57,90.67,89.06,90.53
2012-04-09,41008,89.45,91.41,89.33,90.89
2012-04-10,41009,91.42,92,89.43,89.78
2012-04-11,41010,90.89,90.98,89.05,89.46
2012-04-12,41011,89.29,90.19,88.64,88.97
2012-04-13,41012,89.16,89.24,86.22,86.46
2012-04-16,41015,87.15,87.18,82.61,82.88
2012-04-17,41016,82.71,87.14,81.7,87.1
2012-04-18,41017,87.67,88.61,86.1,86.91
2012-04-19,41018,85.75,86.39,83.5,83.92
2012-04-20,41019,84.48,84.95,81.49,81.85
2012-04-23,41022,81.52,82.38,79.52,81.67
2012-04-24,41023,80.37,81.1,79.29,80.04
2012-04-25,41024,87.95,88.29,86.57,87.14
2012-04-26,41025,87.75,87.81,86.02,86.81
2012-04-27,41026,86.44,86.6,85.79,86.14
2012-04-30,41029,85.4,85.49,83.29,83.43
2012-05-01,41030,83.56,85.25,83.03,83.16
2012-05-02,41031,82.89,83.91,82.69,83.71
2012-05-03,41032,84.36,84.49,82.9,83.12
2012-05-04,41033,82.44,82.62,80.74,80.75
2012-05-07,41036,80.21,81.82,80.18,81.35
2012-05-08,41037,81.37,81.64,79.82,81.17
2012-05-09,41038,80.53,82,80.12,81.31
2012-05-10,41039,82.08,82.27,81.21,81.5
2012-05-11,41040,80.71,82.07,80.62,80.96
2012-05-14,41043,80.37,81.07,79.66,79.75
2012-05-15,41044,80.21,80.46,78.82,79.02
2012-05-16,41045,79.15,79.56,77.29,78.01
2012-05-17,41046,77.9,78.21,75.73,75.73
2012-05-18,41047,76.28,77.63,74.6,75.77
2012-05-21,41050,76.36,80.22,76.29,80.18
2012-05-22,41051,81.36,81.98,78.94,79.57
2012-05-23,41052,79.64,81.83,79.03,81.51
2012-05-24,41053,82.27,82.36,80.18,80.76
2012-05-25,41054,80.66,80.84,79.78,80.33
2012-05-29,41058,81.56,82,80.76,81.75
2012-05-30,41059,81.31,82.86,80.94,82.74
2012-05-31,41060,82.96,83.07,81.64,82.53
2012-06-01,41061,81.31,81.81,80.07,80.14
2012-06-04,41064,80.21,81.07,78.36,80.61
2012-06-05,41065,80.18,80.92,79.76,80.4
2012-06-06,41066,81.11,81.98,80.79,81.64
2012-06-07,41067,82.47,82.47,81.5,81.67
2012-06-08,41068,81.66,82.94,81.29,82.9
2012-06-11,41071,83.96,84.07,81.52,81.6
2012-06-12,41072,82.07,82.37,80.96,82.31
2012-06-13,41073,82.07,82.64,81.48,81.74
2012-06-14,41074,81.61,81.93,81.04,81.65
2012-06-15,41075,81.57,82.09,81.36,82.02
2012-06-18,41078,81.57,83.98,81.48,83.68
2012-06-19,41079,83.34,84.29,83.3,83.92
